time,ëO„¯çúãÿ
1010,-0.0227499
1011,-0.01739693
1012,-0.0227499
1013,-0.02007341
1014,-0.02007341
1015,-0.01739693
1016,-0.0227499
1017,-0.0227499
1018,-0.02007341
1019,-0.02007341
1020,-0.01739693
1021,-0.01739693
1022,-0.0227499
1023,-0.0227499
1024,-0.0227499
1025,-0.02810287
1026,-0.02007341
1027,-0.01739693
1028,-0.02542591
1029,-0.02810287
1030,-0.0227499
1031,-0.02007341
1032,-0.02542591
1033,-0.02542591
1034,-0.02542591
1035,-0.01472044
1036,0.006690979
1037,0.001338005
1038,-0.006691456
1039,0.004014969
1040,-0.01204395
1041,-0.04148436
1042,-0.06824923
1043,-0.0736022
1044,-0.06557274
1045,-0.06021976
1046,-0.03880835
1047,0.06021976
1048,0.04951382
1049,0.004014969
1050,-0.006691456
1051,-0.01472044
1052,-0.03880835
1053,-0.06289577
1054,-0.08698416
1055,-0.07627821
1056,-0.05486679
1057,0.02274942
1058,0.01472044
1059,-0.121778
1060,-0.06289577
1061,0.1592479
1062,0.124454
1063,-0.0521903
1064,-0.08966064
1065,-0.02810287
1066,-0.06824923
1067,-0.1003666
1068,-0.07895517
1069,-0.02007341
1070,-0.02542591
1071,-0.1030426
1072,-0.04148436
1073,-0.07895517
1074,-0.1565714
1075,0.1619244
1076,0.1565714
1077,-0.03077888
1078,-0.06021976
1079,-0.009367466
1080,-0.0521903
1081,-0.13516
1082,-0.01472044
1083,0.1271305
1084,-0.03345537
1085,-0.08430767
1086,-0.1619244
1087,0.006690979
